"product_id","sku","url","title","color","sale_price/amount","sale_price/amount_with_symbol","retail_price/amount","retail_price/amount_with_symbol","discount_percentage","category_name","category_id","description","reviews_count","average_rating"
"22039173","sm2307273039173611","https://us.shein.com/Manfinity-Homme-Men-Plus-Solid-Tee-Shorts-p-22039173-cat-6317.html","Manfinity Homme Men Plus Solid Tee & Shorts","White","18.74","$18.74","26.39","$26.39","29","Men Plus Size T-Shirt Co-ords","6317","Color: White
Style: Casual
Pattern Type: Plain
Details: Pocket
Top Type: Tee
Bottom Type: Track Shorts
Neckline: Round Neck
Sleeve Type: Drop Shoulder
Fit Type: Regular Fit
Number of Pieces: 2 Piece Set
Fabric: Slight Stretch
Care Instructions: Machine wash, do not dry clean
Sheer: No
","64","4.98"
"24808563","rm2308169291469282","https://us.shein.com/ROMWE-Street-Life-Men-Letter-Graphic-Drop-Shoulder-Tee-p-24808563-cat-1980.html","ROMWE Street Life Men's Short Sleeve T-Shirt With Letter Print","Black","9.24","$9.24","12.49","$12.49","26","Men T-Shirts","1980","Color: Black
Style: Casual
Pattern Type: Car
Pattern Type: Letter
Neckline: Round Neck
Sleeve Length: Short Sleeve
Sleeve Type: Drop Shoulder
Length: Regular
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Fabric
Composition: 100% Cotton
Care Instructions: Machine wash or professional dry clean
Sheer: No
","100","4.95"
"23321220","sm2309079942461816","https://us.shein.com/Manfinity-Men-Contrast-Panel-Drawstring-Sweatpants-p-23321220-cat-2988.html","Manfinity Men Contrast Panel Drawstring Sweatpants","Navy Blue","6.15","$6.15","14.29","$14.29","57","Men Sweatpants","2988","Color: Navy Blue
Pattern Type: Colorblock
Details: Side Stripe
Details: Pocket
Type: Tapered/Carrot
Details: Drawstring
Closure Type: Drawstring Waist
Waist Line: Natural
Length: Long
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Temperature: Late Fall (10-17℃/50-63℉)
Body: Unlined
Sheer: No
","1000","4.87"
"27635772","sm2311021427722837","https://us.shein.com/Manfinity-Homme-Men-s-Plus-Size-Striped-Trim-Short-Sleeve-Polo-Shirt-p-27635772-cat-6307.html","Manfinity Homme Men's Plus Size Striped Trim Short Sleeve Polo Shirt","Apricot","13.19","$13.19","14.99","$14.99","12","Men Plus Size Polo Shirts","6307","Color: Apricot
Style: Casual
Pattern Type: Plain
Details: Contrast Binding
Neckline: Collar
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Length: Regular
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Corduroy
Composition: 100% Polyester
Care Instructions: Hand wash or professional dry clean
Sheer: No
","24","4.92"
"30885163","sm2403027733789007","https://us.shein.com/Mens-Fitness-Taco-Funny-T-Shirt-Humorous-Gym-Graphic-Novelty-Sarcastic-Tee-Guys-Heather-Green-M-p-30885163-cat-1980.html","Mens Fitness Taco Funny T Shirt Humorous Gym Graphic Novelty Sarcastic Tee Guys (Heather Green) - M","Heather Red","11.99","$11.99","11.99","$11.99","0","Men T-Shirts","1980","Color: Heather Red
Style: Casual
Length: Regular
Features: Great quality
Fabric: Medium Stretch
Material: Composite Fabric
Composition: 100% Cotton
Care Instructions: Machine wash or professional dry clean
Sheer: No
","0","0"
"2757457","smtop25210524391","https://us.shein.com/Manfinity-Men-Curved-Hem-Tee-p-2757457-cat-1980.html","Manfinity Men Curved Hem Tee","White","6.38","$6.38","8.99","$8.99","29","Men T-Shirts","1980","Color: White
Style: Casual
Pattern Type: Plain
Neckline: Round Neck
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Length: Regular
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Fabric
Composition: 95% Polyester
Composition: 5% Elastane
Care Instructions: Machine wash or professional dry clean
Sheer: No
","1000","5"
"10504951","sm2204273976786986","https://us.shein.com/Manfinity-Men-Striped-Letter-Patched-Detail-Drawstring-Waist-Swim-Shorts-p-10504951-cat-2025.html","Manfinity Men Striped Letter Patched Detail Drawstring Waist Swim Shorts","White","9.62","$9.62","12.49","$12.49","23","Men Beach Shorts","2025","Color: White
Style: Boho
Pattern Type: Striped
Details: Patched
Details: Drawstring
Type: Bottoms
Bottom Type: Shorts
Fabric: Non-Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash, do not dry clean,wash with the soft detergent
Body: Lined
Lining: 100% Polyester
","1000","4.89"
"24347927","sm2310073346388773","https://us.shein.com/Manfinity-EMRG-Men-s-Extra-Loose-Fit-Slogan-Graphic-T-Shirt-p-24347927-cat-1980.html","Manfinity EMRG Men's Extra Loose Fit Slogan Graphic T-Shirt","Black","5.11","$5.11","10.99","$10.99","54","Men T-Shirts","1980","Color: Black
Style: Casual
Pattern Type: Slogan
Neckline: Round Neck
Sleeve Length: Short Sleeve
Length: Regular
Fit Type: Oversized
Fabric: Slight Stretch
Material: Fabric
Composition: 95% Polyester
Composition: 5% Elastane
Care Instructions: Machine wash or professional dry clean
Sheer: No
","500","4.86"
"16499638","sm2305101111206901","https://us.shein.com/Manfinity-Homme-Men-Plus-Flap-Pocket-Side-Cargo-Shorts-p-16499638-cat-6325.html","Manfinity Homme Men Plus Flap Pocket Side Cargo Shorts","Dark Grey","13.49","$13.49","15.49","$15.49","13","Men Plus Size Shorts","6325","Color: Dark Grey
Style: Street
Pattern Type: Plain
Details: Drawstring
Details: Pocket
Type: Straight Leg
Closure Type: Drawstring Waist
Waist Line: Natural
Length: Short
Fit Type: Loose
Fabric: Non-Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Hand wash or professional dry clean
Sheer: No
","100","4.83"
"23452677","sm2309069173927938","https://us.shein.com/Manfinity-AFTRDRK-Men-Plus-Geo-Print-Tee-p-23452677-cat-6311.html","Manfinity AFTRDRK Men Plus Geo Print Tee","White","5.71","$5.71","11.09","$11.09","49","Men Plus Size T-Shirts","6311","Color: White
Style: Street
Pattern Type: Tribal
Neckline: Round Neck
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Length: Regular
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Knitted Fabric
Composition: 100% Polyester
Care Instructions: Machine wash, do not dry clean,wash with the soft detergent
Sheer: No
","76","4.95"
